market_id,payment_method_id
1018261,1
1018261,2
1018261,4
1009994,1
1009994,4
1000709,1
1000709,2
1000709,3
1000709,4
1000709,5
1019956,1
1009959,1
1009959,3
1009959,5
1004950,1
1019938,1
1019938,2
1019938,3
1019938,4
1019938,5
1021607,1
1021607,5
1018965,1
1018965,5
1009004,1
1009004,2
1009004,4
1009004,5
1019473,1
1019473,2
1019473,4
1019473,5
1010487,1
1010487,4
1010487,5
1019695,1
1021442,1
1021442,5
1019676,1
1019676,2
1019676,4
1019676,5
1019351,1
1019351,2
1019351,4
1019351,5
1019847,1
1019847,2
1019847,4
1008961,1
1008961,5
1019203,1
1019203,2
1019203,3
1019203,4
1019203,5
1012233,1
1012233,2
1012233,3
1012233,4
1005258,1
1005258,4
1005258,5
1008054,1
1008612,1
1008612,2
1008612,4
1008612,5
1018304,1
1004070,1
1004070,5
1021689,1
1021689,2
1021689,4
1021689,5
1019371,1
1019371,2
1019371,3
1019371,4
1019371,5
1021578,1
1000519,1
1000519,2
1019113,1
1019113,4
1021464,1
1021464,2
1021464,4
1021464,5
1021597,1
1021597,2
1021597,4
1019831,1
1019831,4
1019831,5
1019832,1
1019832,4
1019832,5
1012389,1
1012389,2
1012389,4
1012389,5
1020150,1
1020150,2
1020150,4
1020150,5
1021309,1
1021309,2
1021309,4
1011171,1
1011171,2
1011171,3
1011171,4
1011171,5
1003563,1
1019438,1
1019438,5
1012157,1
1012157,5
1005944,1
1005944,2
1005944,4
1005944,5
1019647,1
1019647,2
1019647,3
1019647,4
1019647,5
1020084,1
1020084,4
1003516,1
1003516,2
1003516,3
1003516,4
1003516,5
1020060,1
1020060,2
1020060,4
1020060,5
1019484,1
1019096,1
1019096,5
1018934,1
1018934,2
1018934,4
1019350,1
1000431,1
1000431,2
1000431,3
1000431,5
1021359,1
1021359,3
1021359,5
1021733,1
1021733,2
1021733,3
1021733,4
1021733,5
1021732,1
1021732,2
1021732,3
1021732,4
1021732,5
1019662,1
1019904,1
1019904,2
1019904,3
1019904,4
1019904,5
1019222,1
1019495,1
1019495,5
1020068,1
1020068,5
1009810,1
1009810,2
1009810,3
1009810,4
1009810,5
1021627,1
1021627,2
1021627,3
1021627,5
1001245,1
1001245,2
1001245,3
1001245,5
1002984,1
1002984,4
1002984,5
1005086,1
1005086,2
1005086,4
1005086,5
1018033,1
1018033,5
1018032,1
1018032,5
1021450,1
1021450,5
1018330,1
1018330,3
1018330,4
1021225,1
1021225,2
1021225,3
1021225,4
1021225,5
1019789,1
1019789,2
1019789,4
1019789,5
1021329,1
1000559,1
1021534,1
1021534,2
1021534,5
1019396,1
1019396,2
1019396,5
1019126,1
1019126,2
1019126,3
1019126,4
1019126,5
1021528,1
1021528,5
1021530,1
1021530,5
1021529,1
1021529,5
1019044,1
1019044,2
1019044,3
1019044,4
1019076,1
1021338,1
1021338,2
1021338,3
1021338,4
1021338,5
1021521,1
1012081,1
1012081,2
1012081,3
1012081,5
1021582,1
1021582,2
1001604,1
1001604,5
1020029,1
1003335,1
1003335,5
1019871,1
1000436,1
1000436,5
1021540,1
1021540,5
1021265,1
1021443,1
1021443,2
1021443,4
1021443,5
1019617,1
1019874,1
1020102,1
1020102,2
1018735,1
1019875,1
1020097,1
1020097,3
1020097,4
1021630,1
1021630,2
1021630,3
1021630,4
1021630,5
1019853,1
1019400,1
1010607,1
1010607,2
1010607,3
1010607,4
1011902,1
1011902,4
1021363,1
1008140,1
1008140,2
1008140,4
1008140,5
1002064,1
1002064,2
1002064,3
1002064,4
1002064,5
1011363,1
1001316,1
1001316,2
1001533,1
1001533,2
1001533,5
1018644,1
1021403,1
1021403,2
1021403,4
1021403,5
1005183,1
1005183,4
1005183,5
1019005,1
1021628,1
1021628,5
1019168,1
1019168,4
1019168,5
1019169,1
1019169,4
1019169,5
1019967,1
1021322,1
1010406,1
1010406,2
1010406,3
1012494,1
1012494,2
1012494,4
1012494,5
1020196,1
1020196,2
1020196,4
1020196,5
1019765,1
1019765,2
1019765,4
1019765,5
1005949,1
1005949,2
1005949,3
1005949,4
1005949,5
1019338,1
1019338,5
1019339,1
1019339,5
1019591,1
1019591,2
1019591,4
1019591,5
1021508,1
1011037,1
1011037,5
1012163,1
1012163,5
1011829,1
1011829,2
1011829,3
1011829,4
1011829,5
1018396,1
1018396,2
1018396,4
1018396,5
1018563,1
1018563,5
1019932,1
1020098,1
1020098,2
1020098,4
1019372,1
1019372,4
1019440,1
1018092,1
1018092,2
1018092,4
1018313,1
1018313,5
1018316,1
1018316,5
1020101,1
1020101,2
1006833,1
1006833,2
1006833,3
1006833,4
1006833,5
1019318,1
1019693,1
1018394,1
1001526,1
1019165,1
1019165,2
1020096,1
1020096,2
1020096,4
1020099,1
1020099,2
1020099,4
1019205,1
1019205,2
1019205,4
1019205,5
1021248,1
1021248,5
1018227,1
1018227,2
1018227,3
1018227,4
1018227,5
1002407,1
1002407,2
1002407,4
1002407,5
1011075,1
1011075,5
1020113,1
1020113,4
1018556,1
1018556,2
1018556,4
1018556,5
1019146,1
1018756,1
1018756,5
1005483,1
1005483,2
1005483,3
1005483,4
1005483,5
1019905,1
1019905,2
1019905,3
1019905,4
1019905,5
1019257,1
1019257,5
1019984,1
1019984,3
1019984,4
1019984,5
1019794,1
1019527,1
1019527,2
1019527,3
1019527,4
1019527,5
1021210,1
1021210,2
1021210,4
1021210,5
1021736,1
1021736,5
1018891,1
1018891,4
1018891,5
1021515,1
1021262,1
1021262,2
1021262,4
1021262,5
1019906,1
1019906,2
1019906,3
1019906,4
1019906,5
1019727,1
1019727,2
1019727,4
1019727,5
1017968,1
1017968,2
1017968,4
1008607,1
1008607,5
1021311,1
1021311,2
1021311,4
1019218,1
1008953,1
1008953,2
1008953,3
1008953,5
1000843,1
1000843,2
1000843,4
1000843,5
1019492,1
1021524,1
1019965,1
1019965,5
1021728,1
1021728,3
1021728,4
1021728,5
1002567,1
1002567,4
1001362,1
1001362,2
1001362,4
1001362,5
1021238,1
1021614,1
1021614,5
1020089,1
1020089,2
1020089,4
1004927,1
1019922,1
1019922,2
1019922,3
1019922,4
1019922,5
1019978,1
1019978,2
1019978,5
1018263,1
1018263,5
1019980,1
1019980,2
1019980,3
1019980,4
1020188,1
1020188,2
1020188,5
1018459,1
1018459,2
1019997,1
1019997,2
1019997,3
1019997,4
1020160,1
1020160,2
1020160,3
1020160,4
1020160,5
1020183,1
1020183,2
1002674,1
1002674,4
1002674,5
1021575,1
1021575,2
1021575,4
1021575,5
1020117,1
1020117,2
1020117,4
1020118,1
1020118,2
1020118,4
1020119,1
1020119,2
1020119,4
1020184,1
1020184,2
1020184,5
1009034,1
1009034,3
1009034,4
1019810,1
1019810,2
1019810,4
1019810,5
1021202,1
1021202,2
1021202,4
1021202,5
1012038,1
1012038,2
1012038,5
1019772,1
1019772,2
1019772,4
1019772,5
1021435,1
1021435,2
1021435,4
1021435,5
1021294,1
1021294,5
1021655,1
1011930,1
1011930,2
1011930,4
1011930,5
1018359,1
1008450,1
1008450,2
1006651,1
1006651,2
1006651,4
1006651,5
1019417,1
1019417,4
1021269,1
1021269,2
1021269,4
1021269,5
1008322,1
1021213,1
1021213,2
1021213,3
1021213,4
1021213,5
1020071,1
1020071,2
1020071,4
1020074,1
1020074,2
1020074,4
1012093,1
1021740,1
1008276,1
1008276,2
1008276,4
1008276,5
1019159,1
1021242,1
1012484,1
1012484,2
1012484,4
1012484,5
