season_number,season_date,season_time,market_fmid
1,1,06/10/2020 to 10/07/2020,Wed: 9:00 AM-1:00 PM;,1018261
2,1,06/05/2021 to 06/05/2021,Sat: 8:00 AM-11:00 AM;,1009994
3,1,06/06/2020,Sat: 8:30 AM-2:00 PM;,1000709
4,1,01/01/2020 to 01/01/2020,Sat: 8:00 AM-1:00 PM;,1019956
5,1,01/01/2018 to 05/31/2018,Thu: 11:00 AM-3:00 PM;Fri: 11:00 AM-3:00 PM;Sat: 8:00 AM-3:00 PM;,1009959
6,2,06/01/2018 to 12/31/2018,Thu: 11:00 AM-3:00 PM;Fri: 11:00 AM-3:00 PM;Sat: 8:00 AM-3:00 PM;Sun: 11:00 AM-3:00 PM;,1009959
7,1,05/12/2018 to 10/13/2018,Sat: 8:00 AM-2:00 PM;,1004950
8,2,11/09/2018 to 11/10/2018,Fri: 4:00 PM-10:00 PM;Sat: 10:00 AM-3:00 PM;,1004950
9,1,01/01/2021 to 01/01/2021,Wed: 3:00 PM-8:00 PM;Sun: 9:00 AM-8:00 PM;,1021607
10,1,05/12/2018 to 12/15/2018,Sat: 9:00 AM-2:00 PM;,1018965
11,1,01/01/2018 to 12/31/2018,Wed: 12:00 PM-6:00 PM;Sat: 11:00 AM-3:00 PM;,1009004
12,1,05/26/2019 to 09/15/2019,Sun: 10:00 AM-3:00 PM;,1019473
13,2,04/03/2021 to 04/03/2021,Tue: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,1010487
14,3,10/02/2021 to 10/02/2021,Sat: 10:00 AM-12:00 PM;,1010487
15,1,05/08/2021 to 05/08/2021,Sat: 9:00 AM-1:00 PM;,1021442
16,1,05/18/2019 to 10/26/2019,Sat: 8:00 AM-1:00 PM;,1019676
17,1,05/18/2019 to 10/26/2019,Thu: 11:30 AM-3:30 PM;Sat: 8:00 AM-1:00 PM;,1019351
18,1,05/21/2020 to 10/22/2020,Thu: 3:00 PM-7:00 PM;,1019847
19,1,01/01/2021 to 01/01/2021,Mon: 8:00 AM-4:00 PM;Tue: 8:00 AM-4:00 PM;Wed: 8:00 AM-4:00 PM;Thu: 8:00 AM-4:00 PM;Fri: 8:00 AM-4:00 PM;Sun: 10:00 AM-4:00 PM;,1008961
20,1,08/02/2018 to 08/02/2018,Thu: 9:00 AM-5:00 PM;,1019203
21,1,05/01/2018 to 10/31/2018,Mon: 7:30 AM-5:30 PM;Tue: 7:30 AM-5:30 PM;Wed: 7:30 AM-5:30 PM;Thu: 7:30 AM-5:30 PM;Fri: 7:30 AM-5:30 PM;Sat: 7:00 AM-5:30 PM;,1012233
22,1,01/01/2019 to 12/31/2019,Mon: 10:00 AM-11:00 AM;,1005258
23,1,01/01/2020 to 12/31/2020,Sat: 8:00 AM-3:00 PM;Sun: 8:00 AM-3:00 PM;,1008054
24,1,01/01/2018 to 12/31/2018,Sun: 8:30 AM-12:00 PM;,1008612
25,1,01/01/2018 to 12/31/2018,Sun: 9:00 AM-1:00 PM;,1018304
26,1,07/11/2020 to 10/10/2020,Sat: 8:00 AM-1:30 PM;,1004070
27,1,04/16/2022 to 04/16/2022,Sat: 9:00 AM-1:00 PM;,1021689
28,2,12/10/2022 to 12/10/2022,Sat: 10:00 AM-2:00 PM;,1021689
29,1,05/05/2019 to 10/13/2019,Sun: 2:00 PM-5:00 PM;,1019371
30,1,05/01/2021 to 05/01/2021,Thu: 4:30 PM-6:30 PM;,1021578
31,1,05/23/2014 to 05/23/2014,Fri: 9:00 AM-3:00 PM;,1000519
32,1,12/01/2020 to 12/01/2020,Tue: 9:00 AM-12:00 PM;Thu: 3:00 PM-6:00 PM;Sat: 9:00 AM-12:00 PM;,1019113
33,2,05/01/2020 to 10/01/2020,Sat: 9:00 AM-12:00 PM;,1019113
34,1,01/01/2021 to 01/01/2021,Tue: 3:00 PM-6:00 PM;,1021464
35,1,07/11/2021 to 07/11/2021,Sun: 9:00 AM-12:00 PM;,1021597
36,1,04/01/2021 to 04/01/2021,Thu: 5:30 PM-7:00 PM;,1019831
37,1,04/01/2021 to 04/01/2021,Thu: 5:30 PM-7:00 PM;,1019832
38,1,05/02/2019 to 09/26/2019,Thu: 3:00 PM-7:00 PM;,1012389
39,1,07/04/2020 to 10/10/2020,Sun: 9:00 AM-12:00 PM;,1020150
40,1,05/08/2021 to 05/08/2021,Sat: 9:00 AM-12:00 PM;,1021309
41,1,05/01/2021 to 05/01/2021,Sat: 8:00 AM-12:30 PM;,1011171
42,1,05/04/2018 to 09/28/2018,Fri: 3:30 PM-7:00 PM;,1003563
43,1,05/05/2019 to 10/27/2019,Sun: 11:00 AM-2:00 PM;,1019438
44,1,07/19/2016 to 09/08/2020,Tue: 4:00 PM-7:00 PM;,1012157
45,1,05/02/2020 to 10/31/2020,Sat: 9:00 AM-2:00 PM;,1005944
46,2,11/21/2020 to 11/22/2020,Sat: 10:00 AM-4:00 PM;Sun: 10:00 AM-4:00 PM;,1005944
